Intersection,Latitude,Longitude
Harrison (Bridge St Bridge),40.745133825284476,-74.16590082120382
Teterboro Airport,40.83789880441648,-74.0618230242176
Fort Lee (GWB Entry),40.853785490036216, -73.96216033528624
Manhattan (GWB Lighthouse),40.850432910975115,-73.94464763652394
Central Park (110 St),40.800202666014556,-73.95709129316016
LaGuardia Airport,40.76704932245895,-73.8879110227125
Queens (Astoria),40.77821791008642,-73.92542018134866
Queens (Corona Park),40.75026306604517,-73.8495726156377
Queens (Forest Hills Park),40.71176330141306, -73.83612085949834
JFK Airport,40.66622238759085,-73.82233553858039
