latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.73117,-73.9792,0.0,0.0
40.73051,-73.98005,102.546,102.546
40.73117,-73.9792,102.546,205.092
40.73117,-73.97896,20.223,225.315
40.7312,-73.97878,15.53,240.844
40.73128,-73.97856,20.561,261.405
40.73138,-73.97847,13.459,274.865
40.73154,-73.9784,18.743,293.608
40.73138,-73.97813,28.881,322.489
40.73128,-73.97777,32.308,354.797
40.73126,-73.97757,16.998,371.795
40.73128,-73.9773,22.859,394.654
40.73131,-73.97715,13.072,407.726
40.73136,-73.97708,8.106,415.832
40.73149,-73.97699,16.324,432.155
40.73156,-73.97698,7.829,439.985
40.73171,-73.97704,17.429,457.413
40.73184,-73.97714,16.732,474.145
40.73192,-73.97722,11.161,485.306
40.73202,-73.97725,11.403,496.709
40.7321,-73.97725,8.896,505.605
40.73227,-73.97712,21.848,527.452
40.73234,-73.97673,33.771,561.223
40.73234,-73.97651,18.537,579.76
40.73236,-73.97634,14.496,594.256
40.73245,-73.97593,35.967,630.223
40.73257,-73.97569,24.228,654.45
40.73265,-73.9756,11.689,666.14
40.7329,-73.97542,31.667,697.807
40.73252,-73.97452,86.811,784.617
40.73264,-73.97417,32.369,816.986
40.73273,-73.97408,12.556,829.543
40.7334700001161,-73.9742799977603,83.992,913.535
40.73421,-73.97448,83.992,997.527
40.73475,-73.97458,60.634,1058.16
40.73491,-73.97457,17.811,1075.972
40.73497,-73.97462,7.89,1083.862
40.73519,-73.97467,24.823,1108.685
40.73527,-73.97471,9.513,1118.198
40.73534,-73.97468,8.184,1126.381
40.73549,-73.97468,16.679,1143.061
40.7355,-73.97457,9.335,1152.395
40.73551,-73.97457,1.112,1153.507
40.73549,-73.97468,9.531,1163.038
40.73559,-73.97471,11.403,1174.442
40.73569,-73.9747,11.151,1185.593
40.73603,-73.97457,39.361,1224.954
40.73635,-73.97452,35.831,1260.785
40.73661,-73.97442,30.113,1290.898
40.73677,-73.97446,18.108,1309.006
40.73717,-73.97419,49.958,1358.964
40.7378200008438,-73.9737250046074,82.212,1441.176
40.73847,-73.97326,82.212,1523.388
40.73899,-73.97294,63.798,1587.185
40.73975,-73.97265,87.969,1675.155
40.73984,-73.97265,10.008,1685.162
40.73994,-73.97274,13.459,1698.621
40.74077,-73.97254,93.817,1792.438
40.74077,-73.97242,10.11,1802.548
40.74079,-73.97241,2.378,1804.926
40.74162,-73.97224,93.396,1898.323
40.74182,-73.97228,22.493,1920.816
40.74195,-73.97233,15.057,1935.872
40.74205,-73.97234,11.151,1947.024
40.74245,-73.97225,45.12,1992.143
40.74274,-73.97215,33.329,2025.472
40.74303,-73.97194,36.781,2062.253
40.74305,-73.97198,4.038,2066.291
40.74323,-73.97187,22.056,2088.347
40.74321,-73.97181,5.522,2093.869
40.7433,-73.97167,15.468,2109.337
40.74365,-73.97143,43.857,2153.194
40.74378,-73.97143,14.455,2167.65
40.74385,-73.9714,8.184,2175.833
40.74449,-73.97098,79.476,2255.309
40.74504,-73.97056,70.655,2325.964
40.7453350022895,-73.9712849968364,69.328,2395.292
40.74563,-73.97201,69.328,2464.619
40.74569,-73.97196,7.89,2472.509
40.74574,-73.97208,11.537,2484.046
40.7464600011985,-73.9715600056069,91.261,2575.308
40.74718,-73.97104,91.261,2666.569
40.74769,-73.97069,63.916,2730.485
40.74779,-73.97058,14.474,2744.959
40.74798,-73.9704,26.005,2770.965
40.74815,-73.97016,27.678,2798.643
40.74866,-73.96979,64.71,2863.353
40.74862,-73.96969,9.526,2872.879
40.74874,-73.96965,13.762,2886.642
40.74883,-73.96955,13.081,2899.723
40.74953,-73.96913,85.5,2985.223
40.750085000721,-73.9687350032629,70.112,3055.334
40.75064,-73.96834,70.112,3125.446
40.75067,-73.96833,3.441,3128.887
40.75131,-73.96785,81.849,3210.736
40.7513,-73.9678,4.356,3215.092
40.75134,-73.9677,9.526,3224.618
40.75177,-73.96739,54.48,3279.097
40.75183,-73.96737,6.881,3285.979
40.75181,-73.96728,7.901,3293.879
40.75244,-73.96679,81.308,3375.187
40.75259,-73.96675,17.016,3392.204
40.75298,-73.96647,49.365,3441.568
40.75313,-73.96651,17.016,3458.585
40.75325,-73.96644,14.588,3473.173
40.7538650025643,-73.9659950123485,77.984,3551.156
40.7544800034195,-73.9655500164646,77.984,3629.14
40.7550950025656,-73.9651050123479,77.984,3707.124
40.75571,-73.96466,77.984,3785.108
40.75576,-73.96478,11.536,3796.644
40.75632,-73.96437,71.204,3867.848
40.7560900012595,-73.9638249980615,52.549,3920.397
40.75586,-73.96328,52.549,3972.945
40.75593,-73.96323,8.85,3981.795
40.755695001486,-73.9626749984083,53.555,4035.35
40.75546,-73.96212,53.555,4088.906
40.75545,-73.96197,12.683,4101.589
40.75543,-73.96193,4.037,4105.626
40.75538,-73.96186,8.104,4113.73
40.75534,-73.96188,4.756,4118.486
40.75529,-73.96208,17.74,4136.226
40.75525,-73.96209,4.527,4140.753
40.75495,-73.96172,45.652,4186.405
40.75491,-73.96172,4.448,4190.853
40.75488,-73.96176,4.741,4195.594
40.75474,-73.96195,22.326,4217.92
40.75469,-73.96195,5.56,4223.48
40.75461,-73.96184,12.844,4236.324
40.75468,-73.96172,12.757,4249.082
40.75476,-73.96163,11.688,4260.769
40.75511,-73.96127,49.337,4310.106
40.75559,-73.96068,72.928,4383.034
